"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Tough loss but met LaVar and he‚Äôs definitely fun and full of energy #TheProcess https://t.co/UiYHP8XLNA",FALSE,35261,NA,2017-12-08 04:34:15,FALSE,NA,"938990082396008448",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",6880,FALSE,FALSE,NA,NA
"2","I thought I was gonna be around a bunch @sportsillustrated models but this is not a bad group to be with ha‚Ä¶ https://t.co/jffLECbmvn",FALSE,21332,NA,2017-12-07 02:12:54,TRUE,NA,"938592123041013761",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",2853,FALSE,FALSE,NA,NA
"3","Exciting and fun game tonight... Great battle against the big fella #TheProcess https://t.co/mffqKID9Mh",FALSE,18882,NA,2017-12-03 04:11:49,FALSE,NA,"937172497673449474",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",2224,FALSE,FALSE,NA,NA
"4","JUICY LIPS #TheProcess https://t.co/ROtEZxgtS1",FALSE,18752,NA,2017-12-02 02:16:15,FALSE,NA,"936781026428198914",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",3059,FALSE,FALSE,NA,NA
"5","My City, my rules. @champssports @torylanez @adidasoriginals #WeKnowGame https://t.co/rJNCifORym",FALSE,4161,NA,2017-11-30 23:04:57,FALSE,NA,"936370493682266112",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",864,FALSE,FALSE,NA,NA
"6","We blew the lead but still got it done #TheProcess https://t.co/cJYsTdpuWH",FALSE,15162,NA,2017-11-30 03:51:06,FALSE,NA,"936080118589607936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",1527,FALSE,FALSE,NA,NA
"7","Moments like these are why I love playing the game... Shane‚Äôs reaction and face is priceless ‚ù§Ô∏è‚ù§Ô∏è‚ù§Ô∏è #ThisWhyWePlay https://t.co/E5DbCAWovV",FALSE,39112,NA,2017-11-29 02:24:54,FALSE,NA,"935696036189884416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",7312,FALSE,FALSE,NA,NA
"8","Great team effort tonight.... We‚Äôre rolling #TheProcess https://t.co/DMVxp3peMI",FALSE,13431,NA,2017-11-26 03:34:18,FALSE,NA,"934626338597736450",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",1649,FALSE,FALSE,NA,NA
"9","The love in this city is different.... Special connection we have... I really appreciate it #TheProcess https://t.co/fBEzzwu1GO",FALSE,29169,NA,2017-11-23 03:27:10,FALSE,NA,"933537382351163392",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",5316,FALSE,FALSE,NA,NA
"10","@torylanez and I are up to something with @champssports @adidasoriginals https://t.co/BbcinwB46a",FALSE,961,"torylanez",2017-11-22 17:29:40,FALSE,NA,"933387013952344064","34868950","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",276,FALSE,FALSE,NA,NA
"11","I see you #Phila fans, trusting #TheProcess. Top 10 on the @DICKS #JerseyReport¬†¬†https://t.co/Vr3NnPpyjv. Blessed f‚Ä¶ https://t.co/YLVMgIadnT",FALSE,7309,NA,2017-11-22 17:28:14,TRUE,NA,"933386654764683264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",629,FALSE,FALSE,NA,NA
"12","On to the next one!! #TheProcess https://t.co/Qset7vnvsv",FALSE,16862,NA,2017-11-21 03:30:08,FALSE,NA,"932813352534933504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",1728,FALSE,FALSE,NA,NA
"13","Dead Ass why is everyone making fun of my tweet? I was reflecting on what happened last night #TrustIt",FALSE,15545,NA,2017-11-19 23:38:02,FALSE,NA,"932392551725850627",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",1508,FALSE,FALSE,NA,NA
"14","Gotta play for 48 mins... The warriors are amazing though #TheProcess",FALSE,10405,NA,2017-11-19 23:18:09,FALSE,NA,"932387547963064322",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",1071,FALSE,FALSE,NA,NA
"15","Now we know what it feels like to blow a big lead.. Gotta stay focused to get the job done. Great learning lesson a‚Ä¶ https://t.co/V9cC28xUwv",FALSE,55205,NA,2017-11-19 23:12:01,TRUE,NA,"932386006929723393",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",13748,FALSE,FALSE,NA,NA
"16","I see you #Phila fans, trusting #TheProcess. Top 10 on the @DICKS #JerseyReport¬†¬†https://t.co/Vr3NnPpyjv. Blessed f‚Ä¶ https://t.co/v99JRyzSFf",FALSE,6655,NA,2017-11-18 02:53:52,TRUE,NA,"931717059486081024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",550,FALSE,FALSE,NA,NA
"17","We had a great couple days in LA...... Ì†ΩÌ±ëÌ†ΩÌ±ë of LA #Jokes #NotThatSerious https://t.co/H1ODeIs21t",FALSE,23152,NA,2017-11-17 00:41:18,FALSE,NA,"931321310621437952",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",4473,FALSE,FALSE,NA,NA
"18","I like Lonzo‚Äôs game... no shots towards him #TrustIt",FALSE,33800,NA,2017-11-16 07:20:13,FALSE,NA,"931059316244692994",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",6936,FALSE,FALSE,NA,NA
"19","WHAT A NIGHT #TheProcess https://t.co/92q82Zzvzb",FALSE,108688,NA,2017-11-16 06:56:31,FALSE,NA,"931053351055196160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",33586,FALSE,FALSE,NA,NA
"20","Who‚Äôs mans is this? https://t.co/egq6Q2iaWi",FALSE,41362,NA,2017-11-15 03:01:58,FALSE,NA,"930631935960932352",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",9781,FALSE,FALSE,NA,NA
"21","T #TTP https://t.co/C94SBVDPKv",FALSE,1595,NA,2017-11-11 07:17:00,FALSE,NA,"929246565713113088",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",249,FALSE,FALSE,NA,NA
"22","U https://t.co/3o0t5DJYye",FALSE,4901,NA,2017-11-11 07:14:47,FALSE,NA,"929246008210419713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",556,FALSE,FALSE,NA,NA
"23","‚ÄúYou know what time it is‚Äù..... That step back of course was coming",FALSE,13650,NA,2017-11-03 05:04:40,FALSE,NA,"926314159553343488",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",2383,FALSE,FALSE,NA,NA
"24","Trust The Process #HeDiedForOurSins https://t.co/WZF9dXpdZ6",FALSE,30306,NA,2017-11-02 20:56:45,FALSE,NA,"926191370850639872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",9358,FALSE,FALSE,NA,NA
"25","Rolling #TheProcess https://t.co/9jtM1NoN5s",FALSE,18169,NA,2017-11-02 03:20:31,FALSE,NA,"925925563814080512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",3326,FALSE,FALSE,NA,NA
"26","I think we as ‚ÄúThe Dodgers‚Äù got game 6.. it‚Äôs definitely gonna be fun #WorldSeries",FALSE,2045,NA,2017-10-30 06:04:59,FALSE,NA,"924879786593472512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JoelEmbiid",261,FALSE,FALSE,NA,NA
