"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","Michelle and I are delighted to congratulate Prince Harry and Meghan Markle on their engagement. We wish you a life… https://t.co/KC9nmjZPuX",FALSE,1149617,NA,2017-11-27 21:13:50,TRUE,NA,"935255366438408192",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",115065,FALSE,FALSE,NA,NA
"2","From the Obama family to yours, we wish you a Happy Thanksgiving full of joy and gratitude. https://t.co/xAvSQwjQkz",FALSE,1377445,NA,2017-11-23 14:44:27,FALSE,NA,"933707825821421568",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",217139,FALSE,FALSE,NA,NA
"3","ME:  Joe, about halfway through the speech, I’m gonna wish you a happy birth--
BIDEN:  IT’S MY BIRTHDAY!
ME:  Joe.… https://t.co/5qLUsDoaMi",FALSE,2001830,NA,2017-11-20 19:02:11,TRUE,NA,"932685522820042754",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",510097,FALSE,FALSE,NA,NA
"4","This is what happens when the people vote. Congrats @RalphNortham and @PhilMurphyNJ . And congratulations to all th… https://t.co/ZvUKZIDGAj",FALSE,430483,NA,2017-11-08 13:25:21,TRUE,NA,"928252100081078272",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarackObama",74060,FALSE,FALSE,NA,NA
"5","Every election matters - those who show up determine our future. Go vote tomorrow! https://t.co/j1wh8hLamw",FALSE,191486,NA,2017-11-07 01:02:17,FALSE,NA,"927702713298759680",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",58505,FALSE,FALSE,NA,NA
"6","May God also grant all of us the wisdom to ask what concrete steps we can take to reduce the violence and weaponry in our midst.",FALSE,507483,"BarackObama",2017-11-06 00:51:32,FALSE,"927337524808347648","927337619406643200","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",118273,FALSE,FALSE,NA,NA
"7","We grieve with all the families in Sutherland Springs harmed by this act of hatred, and we’ll stand with the survivors as they recover...",FALSE,549559,NA,2017-11-06 00:51:09,FALSE,NA,"927337524808347648",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",98032,FALSE,FALSE,NA,NA
"8","Starting today, you can sign up for 2018 health coverage. Head on over to https://t.co/ob1Ynoesod and find a plan t… https://t.co/6eN1Y5TQGV",FALSE,256737,NA,2017-11-01 13:06:59,TRUE,NA,"925710762894680064",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",138287,FALSE,FALSE,NA,NA
"9","Michelle and I are thinking of the victims of today's attack in NYC and everyone who keeps us safe. New Yorkers are as tough as they come.",FALSE,708658,NA,2017-11-01 00:56:44,FALSE,NA,"925526988659548160",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",104905,FALSE,FALSE,NA,NA
"10","Hello, #ObamaSummit! Thrilled to host civic leaders in Chicago from all over the world. Follow along at @ObamaFoundation.",FALSE,179937,NA,2017-10-30 21:36:12,FALSE,NA,"925114135548919808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",21674,FALSE,FALSE,NA,NA
